Corporate	Category	Brand	SKU	Value 25	Share Value  25	Growth Value 25	Unit 25	Share Unit 25	Growth Unit 25	Value 24	Share Value  24	Growth Value 24	Unit 24	Share Unit 24	Growth Unit 24	Molecule
MARTIN DOW LIMITED	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   CAL-ONE-D          		256529704	24.16	22.15	624844	20.13	15.21	210010395	20.45	16.9	542367	16.46	-0.57	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
SYNTEC INTL PVT L	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSSOBON-D          		105035907	9.89	33.56	593031	19.11	5.76	78642104	7.66	-2.23	560728	17.02	-2.23	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
GENIX PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OMC-D              		75780352	7.14	16.36	162097	5.22	-8.09	65124561	6.34	-2.27	176374	5.35	-18.01	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
AMSON VACC. PH PVT	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSSO-D             		48330031	4.55	25.34	179307	5.78	7.52	38558940	3.75	6.56	166763	5.06	6.56	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
NABIQASIM	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OGNIS-D            		37132854	3.5	-31.09	109488	3.53	-31.74	53888334	5.25	27.93	160410	4.87	9.07	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
NEUTRO PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSS-PRO            		37084474	3.49	79.45	120304	3.88	32.54	20665512	2.01	76.55	90770	2.76	33.02	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
GLOBAL	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSSOMIN-D          		24216969	2.28	7.17	103602	3.34	7.17	22597781	2.2	6.08	96675	2.93	6.08	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
CONTINENTAL PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   BONMIN             		22094412	2.08	-7.45	70519	2.27	-19.81	23872207	2.32	37.9	87939	2.67	12.84	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
HELIX PHARMA PVT L	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSPLEX-D           		9800440	0.92	-5.11	37739	1.22	-6.39	10328569	1.01	18.82	40313	1.22	2	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
HIRANIS PHARMACEUT	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSICOM-D           		7578081	0.71	4.17	25377	0.82	-51.08	7275047	0.71	51.95	51872	1.57	51.95	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
HIMONT PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSMIN-D3           		4858566	0.46	78.24	7899	0.25	-5.49	2725854	0.27	14.48	8358	0.25	9.46	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
KAIZEN PHARMA PVT	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSSVIT-D           		245480	0.02	67.75	1805	0.06	67.75	146336	0.01	-92.99	1076	0.03	-92.99	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
AGP LIMITED	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSNATE-D           		397769910	45.97	17.23	779941	30	9.1	339308821	44.36	29.3	714855	27.08	5.49	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
SAMI	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   INTIG-D            		220360603	25.47	9.78	935289	35.98	-0.19	200720690	26.24	26.04	937029	35.49	4.96	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
MARTIN DOW LIMITED	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   CAL-ONE-D          		111707922	12.91	9.27	334704	12.88	-3.68	102226986	13.37	10.6	347494	13.16	-4.55	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
SYNTEC INTL PVT L	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSSOBON-D          		66510854	7.69	6.74	308636	11.87	-17.09	62312175	8.15	0.82	372234	14.1	0.32	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
CONTINENTAL PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   BONMIN             		21606941	2.5	-6.19	92438	3.56	-10.85	23031690	3.01	24.12	103685	3.93	5.24	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
AMSON VACC. PH PVT	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSSO-D             		19908957	2.3	999	42586	1.64	999	0	0	0	0	0	0	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
NABIQASIM	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OGNIS-D            		13356811	1.54	-39.29	47621	1.83	-39.8	21999765	2.88	7.75	79107	3	-1.61	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
GENIX PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OMC-D              		9371608	1.08	23.14	19467	0.75	-2.87	7610262	1	-9.14	20043	0.76	-24.74	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
GLOBAL	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSSOMIN-D          		4105526	0.47	-40.59	36045	1.39	-40.59	6910427	0.9	23.34	60671	2.3	23.34	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
HIMONT PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSMIN-D3           		452170	0.05	26.29	1087	0.04	-2.51	358052	0.05	16.64	1115	0.04	10.18	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
KAIZEN PHARMA PVT	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSSVIT-D           		119682	0.01	458.95	1280	0.05	458.95	21412	0	-94.59	229	0.01	-94.59	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
HIRANIS PHARMACEUT	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSICOM-D           		46844	0.01	-86.4	501	0.02	-86.4	344550	0.05	22.1	3685	0.14	22.1	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
CARAWAY PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSSEIN-D           		1300	0	999	20	0	999	0	0	0	0	0	0	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
NEUTRO PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSS-PRO            		40171275	66.76	38.23	121423	61.58	25.95	29060766	75.87	169.54	96407	71.28	61.71	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
ASIAN CONTINENTAL	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   SCOXY              		19998504	33.24	116.34	75761	38.42	95.06	9243920	24.13	-54.6	38840	28.72	-54.6	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
NABIQASIM	  DINOPROSTONE	   GLANDIN-E2         		211030296	88.47	-5.6	207065	77.92	-11.18	223539530	85.62	68.91	233129	80.9	17.06	  DINOPROSTONE
PLATINUM PHARMA	  DINOPROSTONE	   PREGLAN-E2         		24799615	10.4	30.54	54493	20.51	20.33	18997410	7.28	-5.78	45288	15.72	-5.78	  DINOPROSTONE
SHAIGAN PHARMA	  DINOPROSTONE	   DITONE E2 V        		2688020	1.13	999	4172	1.57	999	0	0	0	0	0	0	  DINOPROSTONE
PFIZER PAKISTAN	  DINOPROSTONE	   PROSTIN E2         		28693	0.01	-99.85	6	0	-99.94	18545061	7.1	-55.44	9747	3.38	-18.71	  DINOPROSTONE
NABIQASIM	  DINOPROSTONE	   GLANDIN-E2         		58332564	97.56	2.98	49054	97.28	-7.82	56645553	100	53.27	53213	100	6.54	  DINOPROSTONE
SHAIGAN PHARMA	  DINOPROSTONE	   DITONE E2 V        		1457954	2.44	999	1370	2.72	999	0	0	0	0	0	0	  DINOPROSTONE
PFIZER PAKISTAN	  DINOPROSTONE	   PREPIDIL           		0	0	0	0	0	0	0	0	-100	0	0	-100	  DINOPROSTONE
SAMI	  IRON FERRIC	   ELINJEC            		708295650	21.59	60.05	277763	25.81	60.05	442537200	18.53	999	173544	23.51	999	  IRON FERRIC
VIFOR	  IRON FERRIC	   FERINJECT          		691513993	21.08	1.62	91222	8.48	-20.91	680469224	28.49	8.96	115341	15.63	8.69	  IRON FERRIC
MARTIN DOW MARKER	  IRON FERRIC	   FESERVOIR          		309563891	9.44	152.23	93620	8.7	152.23	122731071	5.14	685.54	37117	5.03	685.54	  IRON FERRIC
HILTON	  IRON FERRIC	   FERCARI            		287672980	8.77	51.12	120871	11.23	80.95	190362857	7.97	38.68	66797	9.05	39.33	  IRON FERRIC
BOSCH	  IRON FERRIC	   BOFERIN            		250402386	7.63	107.75	96375	8.96	131.08	120533230	5.05	122.19	41707	5.65	122.19	  IRON FERRIC
RG PHARMA PVT LTD	  IRON FERRIC	   FEROXYMA           		240768875	7.34	4.38	113303	10.53	4.38	230658125	9.66	154.58	108545	14.71	154.58	  IRON FERRIC
GENIX PHARMA	  IRON FERRIC	   FCM                		210398573	6.41	14.83	85937	7.99	40.74	183224565	7.67	12.69	61059	8.27	11.4	  IRON FERRIC
BARRETT HODGSON	  IRON FERRIC	   BAROMALT           		109045058	3.32	23.73	27980	2.6	23.73	88132414	3.69	247.37	22614	3.06	247.37	  IRON FERRIC
NABIQASIM	  IRON FERRIC	   FERCABIN           		87926635	2.68	296.59	35179	3.27	426	22170720	0.93	999	6688	0.91	999	  IRON FERRIC
HIGH-Q INTL	  IRON FERRIC	   CARBOKYT           		81362850	2.48	999	31907	2.96	999	0	0	0	0	0	0	  IRON FERRIC
GREENSTAR	  IRON FERRIC	   ENOJECT            		72563658	2.21	18.92	18618	1.73	18.92	61019262	2.55	780.54	15656	2.12	780.54	  IRON FERRIC
OBS AGP PVT LTD	  IRON FERRIC	   ROSOZ              		70385440	2.15	10	25877	2.4	10	63988000	2.68	53.98	23525	3.19	53.98	  IRON FERRIC
SHAIGAN PHARMA	  IRON FERRIC	   FE-CAR             		67822864	2.07	398.45	23128	2.15	398.45	13606801	0.57	999	4640	0.63	999	  IRON FERRIC
BF BIOSCIENCES	  IRON FERRIC	   FERIUM             		22227704	0.68	999	9260	0.86	999	0	0	0	0	0	0	  IRON FERRIC
SWISS PHARMA	  IRON FERRIC	   FERRIBOXY          		18613725	0.57	999	6433	0.6	999	0	0	0	0	0	0	  IRON FERRIC
BIO-LABS	  IRON FERRIC	   BIO-MALTOSE        		14815500	0.45	200.68	3974	0.37	180.85	4927365	0.21	-50.96	1415	0.19	-53.32	  IRON FERRIC
SAFFRON PHARMA	  IRON FERRIC	   NORIFER            		12940060	0.39	999	5437	0.51	999	0	0	0	0	0	0	  IRON FERRIC
PHARMASOL PVT.LTD	  IRON FERRIC	   IZER               		12221300	0.37	999	4108	0.38	999	0	0	0	0	0	0	  IRON FERRIC
CELL LABORATORIES	  IRON FERRIC	   MALTOCELL          		3942810	0.12	999	1718	0.16	999	0	0	0	0	0	0	  IRON FERRIC
TABROS PHARMA	  IRON FERRIC	   FERRY-COM          		3518847	0.11	999	1899	0.18	999	0	0	0	0	0	0	  IRON FERRIC
VIFOR	  IRON FERRIC	   VENOFER            		1874818480	96.76	10.74	508883	89.45	-16.48	1693028344	94.77	-25.92	609296	86.06	-28.91	  IRON FERRIC
MARTIN DOW MARKER	  IRON FERRIC	   SANGOBION FE       		38301974	1.98	-20.78	44439	7.81	-27.05	48351460	2.71	3.04	60921	8.6	-11.97	  IRON FERRIC
FOCUS & RULZ PHARM	  IRON FERRIC	   INJECTOFER         		15558953	0.8	999	6825	1.2	999	0	0	0	0	0	0	  IRON FERRIC
PDH LABS PVT LTD	  IRON FERRIC	   FERRODIN           		8197740	0.42	-35.03	8037	1.41	-35.03	12618420	0.71	-86.88	12371	1.75	-86.88	  IRON FERRIC
PHARMEVO PVT. LTD.	  IRON FERRIC	   AXIFER             		705501	0.04	-92.7	664	0.12	-92.7	9666627	0.54	-27.69	9098	1.29	-27.69	  IRON FERRIC
NEUTRO PHARMA	  IRON FERRIC	   NEUFER             		15640	0	-99.31	23	0	-99.31	2263040	0.13	18.43	3328	0.47	18.43	  IRON FERRIC
RG PHARMA PVT LTD	  IRON FERRIC	   ONEFER             		11053	0	-99.94	7	0	-99.94	19972078	1.12	-61.06	12648	1.79	-61.16	  IRON FERRIC
BAJWA PHARMA	  IRON FERRIC	   IRON-S             		0	0	-100	0	0	-100	584717	0.03	999	319	0.05	999	  IRON FERRIC
HIGH-Q INTL	  IRON FERRIC	   POLYMALT           		765930916	45.78	22.07	2781461	42.58	9.79	627470567	42.25	43.62	2533473	38.16	2.41	  IRON FERRIC
SAMI	  IRON FERRIC	   BISLERI            		400290250	23.93	17.27	1584274	24.25	-0.31	341346207	22.98	35.58	1589209	23.94	-6.56	  IRON FERRIC
VIFOR	  IRON FERRIC	   MALTOFER           		197818033	11.82	-26.43	664937	10.18	-37.2	268889448	18.1	4.78	1058870	15.95	5.66	  IRON FERRIC
SAMI	  IRON FERRIC	   ELEZO              		68056458	4.07	5.55	362877	5.56	-4.35	64479323	4.34	2.45	379370	5.71	-10.66	  IRON FERRIC
HIMONT PHARMA	  IRON FERRIC	   HEAMOCARE          		62544469	3.74	120.16	80714	1.24	-7.54	28409125	1.91	-27.44	87295	1.32	-27.49	  IRON FERRIC
OBS AGP PVT LTD	  IRON FERRIC	   RUBIFER            		42792126	2.56	29.82	155393	2.38	24.06	32962513	2.22	32.53	125257	1.89	16.47	  IRON FERRIC
CONTINENTAL PHARMA	  IRON FERRIC	   FERRICURE          		41412347	2.48	-3.75	207527	3.18	-8.36	43023893	2.9	-4.08	226457	3.41	-11	  IRON FERRIC
ASIAN CONTINENTAL	  IRON FERRIC	   FERALIFE           		16321531	0.98	17.31	187651	2.87	8.06	13913638	0.94	5.45	173660	2.62	5.45	  IRON FERRIC
BARRETT HODGSON	  IRON FERRIC	   POLYFER            		13224345	0.79	32.43	96445	1.48	21.03	9985654	0.67	-20.28	79686	1.2	-32.54	  IRON FERRIC
S.J.& G. FAZUL	  IRON FERRIC	   FERRICA            		8575824	0.51	-5.17	50437	0.77	-7.56	9043157	0.61	31.64	54559	0.82	26.56	  IRON FERRIC
KAIR PHARMA	  IRON FERRIC	   CRESS              		7234262	0.43	-1.74	42367	0.65	-1	7362178	0.5	6.88	42794	0.64	1.12	  IRON FERRIC
GLITZ PHARMA	  IRON FERRIC	   GARLEX             		7155000	0.43	999	53000	0.81	999	0	0	0	0	0	0	  IRON FERRIC
ZAFA	  IRON FERRIC	   IROZAF             		6600624	0.39	0.89	64712	0.99	0.51	6542621	0.44	-20.45	64385	0.97	-28	  IRON FERRIC
GENIX PHARMA	  IRON FERRIC	   RBC                		4857488	0.29	3.29	22460	0.34	-13.88	4702720	0.32	-9.34	26079	0.39	-22.07	  IRON FERRIC
GENETICS PHARMA	  IRON FERRIC	   GLOBIGEN           		4054823	0.24	-0.96	17279	0.26	-21.08	4094178	0.28	-11.72	21894	0.33	-25.17	  IRON FERRIC
CONTINENTAL PHARMA	  IRON FERRIC	   VIVASE             		3725475	0.22	70.07	19741	0.3	39.01	2190493	0.15	-6.25	14201	0.21	-28.65	  IRON FERRIC
SAFE PHARMA	  IRON FERRIC	   BELTON             		3473914	0.21	-31.82	13120	0.2	-43.65	5095238	0.34	164.3	23284	0.35	98.87	  IRON FERRIC
CORE HEALTH	  IRON FERRIC	   IRONOM             		3246320	0.19	999	11935	0.18	999	0	0	0	0	0	0	  IRON FERRIC
PHARMEDIC	  IRON FERRIC	   BIOFER             		2552394	0.15	-24.19	21239	0.33	-30.83	3366693	0.23	-9.7	30704	0.46	-18.62	  IRON FERRIC
SWISS PHARMA	  IRON FERRIC	   ROPLEX             		2457309	0.15	486.43	10388	0.16	374.12	419029	0.03	999	2191	0.03	999	  IRON FERRIC
HIGH-Q INTL	  IRON FERRIC	   POLYMALT           		272898877	85.36	4.81	1044589	81.19	4.81	260378993	87.54	18.18	996666	82.29	2.16	  IRON FERRIC
ASIAN CONTINENTAL	  IRON FERRIC	   FERALIFE           		22006203	6.88	28.31	109597	8.52	15.84	17150681	5.77	-0.76	94614	7.81	-0.76	  IRON FERRIC
OBS AGP PVT LTD	  IRON FERRIC	   RUBIFER            		14256310	4.46	19.68	50151	3.9	7.36	11911815	4	-14.26	46713	3.86	-19.74	  IRON FERRIC
BOSCH	  IRON FERRIC	   ROUGE              		3855167	1.21	-14.05	33260	2.59	-15.18	4485152	1.51	13.81	39211	3.24	-20.73	  IRON FERRIC
BARRETT HODGSON	  IRON FERRIC	   POLYFER            		3030814	0.95	5.75	26884	2.09	-3.25	2866028	0.96	3.8	27786	2.29	-9.23	  IRON FERRIC
FOCUS & RULZ PHARM	  IRON FERRIC	   M-FER              		2058374	0.64	999	7888	0.61	999	0	0	0	0	0	0	  IRON FERRIC
CSH PHARMA	  IRON FERRIC	   HB-RISE            		957147	0.3	285.77	8433	0.66	285.77	248113	0.08	-31.86	2186	0.18	-31.86	  IRON FERRIC
MTI MED PVT LT-LHR	  IRON FERRIC	   TEMURIN            		377026	0.12	48.29	1706	0.13	29.83	254241	0.09	417.38	1314	0.11	386.67	  IRON FERRIC
MEDISAVE	  IRON FERRIC	   REDISH             		183857	0.06	14.66	3090	0.24	14.66	160354	0.05	61.28	2695	0.22	61.28	  IRON FERRIC
HOORA PHARMA	  IRON FERRIC	   INTRAFER           		97512	0.03	999	956	0.07	999	0	0	0	0	0	0	  IRON FERRIC
REMINGTON	  IRON FERRIC	   FEMTOL             		833	0	999	14	0	999	0	0	0	0	0	0	  IRON FERRIC
SAMI	  IRON FERRIC	   ELEZO              		150468921	64.6	12.11	280299	65.74	0.18	134215069	68.83	-7.92	279803	68.87	-20.24	  IRON FERRIC
CONTINENTAL PHARMA	  IRON FERRIC	   FERRICURE          		41674056	17.89	-3.71	85343	20.02	-10.43	43280915	22.19	-5.41	95276	23.45	-15.5	  IRON FERRIC
OBS PHARMA PVT LTD	  IRON FERRIC	   FERRIC MALTOL      		36343989	15.6	355.1	50555	11.86	437.02	7985897	4.1	999	9414	2.32	999	  IRON FERRIC
S.J.& G. FAZUL	  IRON FERRIC	   FERRICA            		4447643	1.91	-53.3	10180	2.39	-53.3	9523546	4.88	53.79	21798	5.37	48.35	  IRON FERRIC
GENIX PHARMA	  IRON FERRIC	   RBC                		86414400	82.84	67.53	50832	86.1	53.85	51582681	65.51	-1.31	33041	66.33	-8.85	  IRON FERRIC
ALLMED	  IRON FERRIC	   MONOFER            		14580202	13.98	33.53	5703	9.66	15.4	10919219	13.87	22.64	4942	9.92	7.34	  IRON FERRIC
CONTINENTAL PHARMA	  IRON FERRIC	   VIVASE             		2531608	2.43	-68.82	2149	3.64	-72.31	8119965	10.31	-22.96	7762	15.58	-36.96	  IRON FERRIC
MTI MED PVT LT-LHR	  IRON FERRIC	   TEMURIN-S          		545530	0.52	7.78	268	0.45	-8.84	506150	0.64	-32.98	294	0.59	-38.11	  IRON FERRIC
SAFE PHARMA	  IRON FERRIC	   VITOHAM            		240577	0.23	-96.84	86	0.15	-97.72	7612575	9.67	-56.16	3772	7.57	-59.16	  IRON FERRIC
ACUMEN PHARMA	  IRON FERRIC	   REVOFER            		0	0	0	0	0	0	0	0	-100	0	0	-100	  IRON FERRIC
OBS AGP PVT LTD	  IRON FERRIC	   RUBIFER            		32405020	50.37	27.81	255238	70.8	26.85	25353798	23.8	79.33	201208	49.94	52.13	  IRON FERRIC
VIFOR	  IRON FERRIC	   MALTOFER           		31879923	49.55	-60.57	104500	28.99	-46.96	80848062	75.9	7.71	197011	48.9	-37.14	  IRON FERRIC
CONTINENTAL PHARMA	  IRON FERRIC	   FERRICURE          		51884	0.08	-83.75	763	0.21	-83.75	319260	0.3	-52.8	4695	1.17	-52.8	  IRON FERRIC
GENETICS PHARMA	  IRON FERRIC	   GLOBIGEN           		7187091	93.18	20.06	27505	88.07	7.21	5986141	95.21	-0.16	25656	84.94	-20.33	  IRON FERRIC
ARIES PHARMA	  IRON FERRIC	   FERIMAX            		265118	3.44	999	1368	4.38	999	0	0	0	0	0	0	  IRON FERRIC
FYNK PHARMA	  IRON FERRIC	   MACIFAR            		260560	3.38	-13.53	2358	7.55	-48.18	301326	4.79	5.99	4550	15.06	-4.77	  IRON FERRIC
SHROOQ PHARMA	  IRON FERRIC	   NOVARISE           		400198	83.18	158.17	7980	88.11	158.17	155015	5.31	-50	3091	18.04	-50	  IRON FERRIC
HAMAZ PHAR.	  IRON FERRIC	   BEN-10             		52241	10.86	999	878	9.69	999	0	0	-100	0	0	-100	  IRON FERRIC
WILSHIRE	  IRON FERRIC	   AGNESE             		21556	4.48	999	79	0.87	999	0	0	0	0	0	0	  IRON FERRIC
OBSONS PHARMA	  IRON FERRIC	   HAEMOGEN           		7140	1.48	-90.54	120	1.32	-90.54	75447	2.58	999	1268	7.4	999	  IRON FERRIC
SAFE PHARMA	  IRON FERRIC	   BELTON             		0	0	-100	0	0	-100	2614909	89.59	-34.02	11974	69.88	-47.26	  IRON FERRIC
BRISTOL MAYER BIOT	  IRON FERRIC	   EISEN              		0	0	0	0	0	0	0	0	-100	0	0	-100	  IRON FERRIC
GLOBAL	  IRON FERRIC	   LOHIMALT           		0	0	0	0	0	0	0	0	-100	0	0	-100	  IRON FERRIC
CARAWAY PHARMA	  IRON FERRIC	   OFERA              		0	0	-100	0	0	-100	73475	2.52	999	803	4.69	999	  IRON FERRIC
MEDICAIDS	  IRON FERRIC	   FE-CHEW            		130615	100	-40.88	616	100	-49.34	220923	100	57.66	1216	100	-2.17	  IRON FERRIC
Z-JANS PHARMA	  IRON FERRIC	   REVICEL            		6392	100	-55.02	94	100	-55.02	14212	100	-64.33	209	100	-64.33	  IRON FERRIC
SHAIGAN PHARMA	  FOLIC ACID+INOSITOL+VITAMIN E	   FESTIO             		5112668	100	999	8872	100	999	0	0	0	0	0	0	  FOLIC ACID+INOSITOL+VITAMIN E
HILTON	  VONOPRAZAN	   VONIZA             		571873326	15.79	44.42	875666	13.56	5.17	395971816	17.4	45.88	832650	19.01	27.64	  VONOPRAZAN
HORIZON HEALTHCARE	  VONOPRAZAN	   VONNP              		567005840	15.66	11.74	513393	7.95	-3.34	507428580	22.29	18.29	531121	12.13	1.06	  VONOPRAZAN
GETZ PHARMA	  VONOPRAZAN	   VONOZAN            		485270063	13.4	1.66	787559	12.19	-9.14	477353073	20.97	38.87	866813	19.79	3.45	  VONOPRAZAN
HIGH-Q INTL	  VONOPRAZAN	   VONRIK             		309430005	8.55	999	638031	9.88	999	0	0	0	0	0	0	  VONOPRAZAN
THE SEARLE COMPANY	  VONOPRAZAN	   VOCINTI            		183010453	5.05	3.77	341289	5.28	-14.68	176363539	7.75	9.3	400006	9.13	-7.25	  VONOPRAZAN
FEROZSONS	  VONOPRAZAN	   VENU               		170032298	4.7	46.02	349944	5.42	28.63	116442930	5.12	922.78	272056	6.21	772.48	  VONOPRAZAN
HELIX PHARMA PVT L	  VONOPRAZAN	   VPN                		143622413	3.97	27.4	364055	5.64	25.44	112730311	4.95	52.4	290226	6.63	49.51	  VONOPRAZAN
SAMI	  VONOPRAZAN	   VONOLIA            		113122222	3.12	205.27	301655	4.67	198.25	37056376	1.63	999	101140	2.31	999	  VONOPRAZAN
GLOBAL	  VONOPRAZAN	   VONOGLOB           		100245481	2.77	999	171700	2.66	999	0	0	0	0	0	0	  VONOPRAZAN
MARTIN DOW MARKER	  VONOPRAZAN	   VONOSPIRE          		95446029	2.64	999	219684	3.4	999	5208120	0.23	999	12280	0.28	999	  VONOPRAZAN
NABIQASIM	  VONOPRAZAN	   XAPOZAN            		85137100	2.35	22.73	158756	2.46	4.79	69366898	3.05	999	151493	3.46	999	  VONOPRAZAN
AGP LIMITED	  VONOPRAZAN	   AG-VONO            		80805300	2.23	66.44	175845	2.72	45.01	48547905	2.13	999	121263	2.77	999	  VONOPRAZAN
CONTINENTAL PHARMA	  VONOPRAZAN	   VOZINO             		76844494	2.12	993.1	172905	2.68	933.26	7029946	0.31	999	16734	0.38	999	  VONOPRAZAN
GENIX PHARMA	  VONOPRAZAN	   CABVON             		68825396	1.9	82.22	110541	1.71	79.23	37769838	1.66	999	61674	1.41	999	  VONOPRAZAN
CELL LABORATORIES	  VONOPRAZAN	   VONOCEL            		51504575	1.42	78.91	132149	2.05	79.64	28788665	1.26	999	73563	1.68	999	  VONOPRAZAN
SCILIFE	  VONOPRAZAN	   SCIVONO            		48181716	1.33	195.47	112409	1.74	164.72	16306858	0.72	999	42464	0.97	999	  VONOPRAZAN
CCL	  VONOPRAZAN	   VONMA              		46423116	1.28	79.47	81492	1.26	53.13	25867438	1.14	104.41	53218	1.22	77.05	  VONOPRAZAN
DYSON LABS	  VONOPRAZAN	   VODYSON            		44149334	1.22	240.89	86259	1.34	223.75	12951150	0.57	999	26644	0.61	999	  VONOPRAZAN
SHAIGAN PHARMA	  VONOPRAZAN	   VONOPRAN           		40427201	1.12	26.86	94188	1.46	23.61	31867973	1.4	999	76197	1.74	999	  VONOPRAZAN
MARTIN DOW LIMITED	  VONOPRAZAN	   VOZDOW             		40282175	1.11	247.28	42913	0.66	211.42	11599212	0.51	999	13780	0.31	999	  VONOPRAZAN
THE SEARLE COMPANY	  ORPHENADRINE+PARACETAMOL	   NUBEROL            		3978249349	75.86	0.39	23820158	86.09	-19.15	3962600034	81.28	2.17	29463027	90.29	-5.04	  ORPHENADRINE+PARACETAMOL
TABROS PHARMA	  ORPHENADRINE+PARACETAMOL	   DURAGESIC          		409695716	7.81	21.74	1416166	5.12	14.08	336540473	6.9	-0.45	1241386	3.8	-13.9	  ORPHENADRINE+PARACETAMOL
WILSONS	  ORPHENADRINE+PARACETAMOL	   WILGESIC           		294363602	5.61	82.68	431546	1.56	22.21	161134874	3.31	10.58	353116	1.08	1.9	  ORPHENADRINE+PARACETAMOL
SAMI	  ORPHENADRINE+PARACETAMOL	   PROVAS-N           		166684514	3.18	5.47	244689	0.88	-6.57	158040398	3.24	19.55	261903	0.8	0.96	  ORPHENADRINE+PARACETAMOL
AGP LIMITED	  ORPHENADRINE+PARACETAMOL	   SINAXAMOL PLUS     		152900589	2.92	47.7	675939	2.44	21.92	103522925	2.12	32.73	554429	1.7	8.62	  ORPHENADRINE+PARACETAMOL
STANLEY PHARMA	  ORPHENADRINE+PARACETAMOL	   RID ALL            		65705078	1.25	49.28	251264	0.91	56.27	44015659	0.9	8.61	160787	0.49	1.37	  ORPHENADRINE+PARACETAMOL
HORIZON HEALTHCARE	  ORPHENADRINE+PARACETAMOL	   REDRINE            		42943380	0.82	49.44	98706	0.36	14.6	28736101	0.59	71.17	86131	0.26	-24.6	  ORPHENADRINE+PARACETAMOL
